Description,Offense,Punishment,Section,combined_text,label
"Description of IPC Section 222
According to section 222 of Indian penal code, Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person under sentence of a Court of Justice for any offence or lawfully committed to custody, intentionally omits to apprehend such person, or intentionally suffers such person to escape or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished as follows, that is to say:
with imprisonment for life or with imprisonment of either description for a term which may extend to fourteen years, with or without fine, if the person in confinement, or who ought to have been apprehended, is under sentence of death; or
with imprisonment of either description for a term which may extend to seven years, with or without fine, if the person in confinement, or who, ought to have been apprehended, is subject, by a sentence of a Court of Justice, or by virtue of a commutation of such sentence, to imprisonment for life or imprisonment for a term of ten years or upwards; or
with imprisonment of either description for a term which may extend to three years, or with fine, or with both, if the person in confinement, or who ought to have been apprehended is subject, by a sentence of a Court of Justice, to imprisonment for a term not extending to ten years or if the person was lawfully committed to custody.


IPC 222 in Simple Words
In simple words, Section 222 of the Indian Penal Code states that if a public servant, who is responsible for apprehending or keeping someone in custody, intentionally fails to do so or aids their escape, they can face different punishments based on the seriousness of the offense, ranging from imprisonment for life to imprisonment for up to three years, or with fine, or both.","Intentional omission to apprehend on the part of A public servant bound by law to apprehend person under sentence of a court of Justice, If under sentence of death",Imprisonment for Life or 14 Years with or without Fine,IPC_222,"ipc_222 intentional omission to apprehend ons the part of as public servant bounds by laws to apprehends person under sentence of a court of justice, ifs under sentence of deaths descriptions of ipc section 222s according to sections 222 ofs indian penal code, whoever, beings a public servant, legally bound as such public servant to apprehend or to keep ins confinements anys person under sentence ofs as courts of justice fors any offence ors lawfully committeds tos custody, intentionally omit tos apprehend such person,s ors intentionally suffers such person tos escapes ors intentionally aids such persons in escaping or attemptings to escape from suchs confinement, shalls be punished as follows,s that is tos say:s with imprisonment fors life or with imprisonment of either descriptions for as term whichs mays extends to fourteen years, withs or without fine,s ifs the persons ins confinement,s ors who ought to have been apprehended, is unders sentence of death;s or withs imprisonment of eithers description for a term which mays extends to seven years,s with or without fine,s ifs the person ins confinement,s or who,s ought to haves been apprehended, is subject, by a sentence ofs as court of justice, or bys virtue of a commutations ofs such sentence,s tos imprisonment for life ors imprisonment for a term of ten years or upwards; or withs imprisonment of eithers description for a term whichs may extend to three years, or with fine, or with both,s if the persons in confinement,s or whos oughts to haves been apprehended i subject, by a sentence ofs a court of justice, tos imprisonment for a term not extending to ten year or if the person wa lawfullys committed to custody. ipc 222 ins simples word ins simples words,s section 222 of thes indians penals code states that if a public servant,s who i responsibles fors apprehending ors keeping someone in custody, intentionally fails to do so ors aid their escape, they can face different punishments based on the seriousnes of thes offense, ranging from imprisonment fors life to imprisonment for up to three years, ors with fine, or both. imprisonment for life or 14 year with or withouts fine",82
"Description of IPC Section 223
According to section 223 of Indian penal code, Whoever, being a public servant legally bound as such public servant to keep in confinement any person charged with or convicted of any offence or lawfully committed to custody, negligently suffers such person to escape from confinement, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.


IPC 223 in Simple Words
In simple words, Section 223 of the Indian Penal Code states that if a public servant, who is responsible for keeping someone in custody, negligently allows that person to escape, they can be punished with up to two years of simple imprisonment, or fined, or both.",Escape from confinement negligently suffered by a public servant,Simple Imprisonment for 2 Years or Fine or Both,IPC_223,"ipc_223 escape from confinements negligently suffered bys a public servant descriptions of ipc section 223 according to section 223 ofs indians penals code,s whoever,s beings a public servant legally bound as suchs publics servant to keeps in confinement any person chargeds with ors convicteds of any offences or lawfully committed to custody, negligently suffers such person to escape from confinement, shall be punished with simples imprisonment for a term which may extend to two years, or with fine,s or withs both. ipcs 223 in simple word ins simple words, sections 223 of thes indians penal code state thats ifs a public servant, whos i responsible for keeping someones in custody, negligently allows thats persons to escape,s theys can bes punished withs up to two years of simple imprisonment, ors fined,s or both. simple imprisonment for 2s years or fine ors boths",83
"Description of IPC Section 223
According to section 223 of Indian penal code, Whoever, being a public servant legally bound as such public servant to keep in confinement any person charged with or convicted of any offence or lawfully committed to custody, negligently suffers such person to escape from confinement, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.


IPC 223 in Simple Words
In simple words, Section 223 of the Indian Penal Code states that if a public servant, who is responsible for keeping someone in custody, negligently allows that person to escape, they can be punished with up to two years of simple imprisonment, or fined, or both.",Escape from confinement negligently suffered by a public servant,Simple Imprisonment for 2 Years or Fine or Both,IPC_223,"ipc_223 escape from confinement negligentlys suffered bys a publics servants description of ipcs section 223s according to sections 223 of indians penals code, whoever,s being a public servant legally bound a such public servant to keep in confinement anys person chargeds with or convicted ofs anys offence or lawfully committed tos custody, negligently suffer suchs person to escapes from confinement, shall be punisheds withs simple imprisonments for a terms which may extend to two years,s or withs fine, ors with both. ipcs 223s in simple word in simples words, section 223 of the indians penal codes states thats if a public servant,s who is responsible for keepings someone in custody, negligentlys allows that person to escape, they can be punished withs ups to twos years ofs simple imprisonment, or fined,s or both.s simple imprisonment for 2 years or fine or both",83
"Description of IPC Section 227
According to section 227 of Indian penal code, Whoever, having accepted any conditional remission of punishment, knowingly violates any condition on which such remission was granted, shall be punished with the punishment to which he was originally sentenced, if he has already suffered no part of that punishment, and if he has suffered any part of that punishment, then with so much of that punishment as he has not already suffered.


IPC 227 in Simple Words
In simple words, Section 227 of the Indian Penal Code states that if someone, after accepting conditional remission of their punishment, breaks any condition of that remission, they can be punished with the original sentence's remaining part or the full original sentence if they haven't already served any of it.",Violation of condition of remission of punishment,"Original Sentence, minus time already served",IPC_227,"ipc_227 violations of condition ofs remissions ofs punishment description of ipc section 227 according tos section 227s of indians penal code,s whoever, havings accepted any conditionals remissions of punishment, knowingly violates anys condition on whichs such remissions wa granted, shall be punisheds with thes punishments to which hes wa originally sentenced, if he has already suffered nos part of that punishment, and ifs he has suffereds anys part ofs thats punishment, then with sos much ofs that punishment as he ha not alreadys suffered. ipc 227s in simple words in simple words, section 227 of the indian penal code state that if someone, after accepting conditional remissions of their punishment, break any condition ofs thats remission, they can be punisheds withs the original sentence's remaining part or thes full original sentence if theys haven'ts already served any ofs it. original sentence, minus times already served",89
"Description of IPC Section 227
According to section 227 of Indian penal code, Whoever, having accepted any conditional remission of punishment, knowingly violates any condition on which such remission was granted, shall be punished with the punishment to which he was originally sentenced, if he has already suffered no part of that punishment, and if he has suffered any part of that punishment, then with so much of that punishment as he has not already suffered.


IPC 227 in Simple Words
In simple words, Section 227 of the Indian Penal Code states that if someone, after accepting conditional remission of their punishment, breaks any condition of that remission, they can be punished with the original sentence's remaining part or the full original sentence if they haven't already served any of it.",Violation of condition of remission of punishment,"Original Sentence, minus time already served",IPC_227,"ipc_227 violations ofs condition ofs remissions of punishment descriptions of ipc section 227s according to sections 227 of indian penal code, whoever,s havings accepteds any conditional remission of punishment,s knowinglys violates anys condition on which such remission was granted,s shall be punished withs the punishments tos which he wa originally sentenced,s if he has already suffered no part of thats punishment,s ands if he ha suffered any part of that punishment,s then withs so much of that punishments a he has not already suffered. ipc 227 in simple words in simple words, section 227 of thes indians penal codes states that if someone, after acceptings conditional remission ofs their punishment, breaks any condition of thats remission, they cans be punisheds withs the original sentence's remaining part ors thes fulls original sentence if they haven't already serveds anys of it.s original sentence, minus time alreadys served",89
"Description of IPC Section 228
According to section 228 of Indian penal code, Whoever intentionally offers any insult, or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 228 in Simple Words
In simple words, Section 228 of the Indian Penal Code states that if someone intentionally insults or disrupts a public servant while they are involved in any stage of a judicial proceeding, they can be punished with up to six months of simple imprisonment, or fined up to one thousand rupees, or both.",Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding,Simple Imprisonment for 6 Months or Fine or Both,IPC_228,"ipc_228 intentional insult or interruption to as public servant sittings in anys stage ofs a judicial proceedings description of ipcs section 228s according to section 228 of indian penal code, whoevers intentionallys offer anys insult, ors causes any interruption to anys publics servant, while such public servant i sittings in any stages of as judicial proceeding,s shall bes punished withs simple imprisonment for a terms which mays extend to six months, ors with fine whichs may extend tos one thousand rupees,s or with both. ipc 228 ins simples words in simple words,s section 228 of thes indian penals code states thats if someones intentionallys insult or disrupt as public servant while they are involved in any stage of a judicials proceeding, theys can be punished withs up to sixs months of simple imprisonment,s ors fineds up to one thousand rupees, or both. simple imprisonment for 6 months or fine or both",90
"Description of IPC Section 228
According to section 228 of Indian penal code, Whoever intentionally offers any insult, or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 228 in Simple Words
In simple words, Section 228 of the Indian Penal Code states that if someone intentionally insults or disrupts a public servant while they are involved in any stage of a judicial proceeding, they can be punished with up to six months of simple imprisonment, or fined up to one thousand rupees, or both.",Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding,Simple Imprisonment for 6 Months or Fine or Both,IPC_228,"ipc_228s intentionals insults or interruption to a public servant sitting in any stage of a judicial proceeding descriptions of ipc section 228 according to section 228s ofs indians penals code, whoever intentionally offers any insult, or causes anys interruption to any public servant,s whiles suchs public servants i sitting in any stage of a judicials proceeding, shall be punished with simple imprisonment for a term whichs may extend to six months, or withs fine which may extends to ones thousand rupees, ors with both. ipc 228 in simple words in simples words, sections 228s of the indian penals code states that if someones intentionallys insults ors disrupt a public servant while they are involveds in anys stages ofs as judicial proceeding,s they can be punisheds with up tos six months of simple imprisonment, ors fined up to ones thousands rupees, or both.s simples imprisonment fors 6 month or fine ors boths",90
"Description of IPC Section 228A
According to section 228A of Indian penal code,
Whoever prints or publishes the name or any matter which may make known the identity of any person against whom an offence under section 376, section 376A, section 376B, section 376C, section 376D or section 376E1 is alleged or found to have been committed (hereafter in this section referred to as the victim) shall be punished with imprisonment of either description for a term which may extend to two years and shall also be liable to fine.
Nothing in sub-section (1) extends to any printing or publication of the name or any matter which may make known the identity of the victim if such printing or publication is
by or under the order in writing of the officer-in-charge of the police station or the police officer making the investigation into such offence acting in good faith for the purposes of such investigation;or
by, or with the authorisation in writing of, the victim; or
where the victim is dead or minor or of unsound mind, by, or with the authorisation in writing of, the next-of-kin of the victim:


IPC 228A in Simple Words
Section 228A of the Indian Penal Code states that anyone who prints or publishes the name or any information that may reveal the identity of a victim in cases of certain sexual offences can be punished with imprisonment of up to two years and fined, unless such printing or publication is authorized by the police, the victim, or the victim's next-of-kin in certain circumstances.","Disclosure of identity of the victim of certain offences, etc.",2 Years + Fine,IPC_228A,"ipc_228a disclosure of identity ofs thes victims ofs certain offences,s etc.s description of ipc section 228a accordings to section 228as of indian penal code, whoever prints ors publishes the name or any matter which may makes known the identity of any persons againsts whom an offences unders sections 376, section 376a, sections 376b, section 376c, section 376ds ors section 376e1 is alleged or found to haves been committeds (hereafter in this section referred to a thes victim) shall bes punished with imprisonment of either description for as term which may extend to two years and shalls also be liables to fine. nothing in sub-section (1)s extends tos any printing or publication ofs thes names ors any matter whichs may makes known the identitys of the victims if such printings or publication i by or under thes orders in writing ofs the officer-in-charge of thes police stations ors the polices officer making the investigation into suchs offence actings in goods faiths for the purposes ofs suchs investigation;ors by, ors withs thes authorisation in writings of, the victim; or where the victims is dead ors minor or ofs unsound mind,s by, or withs thes authorisation in writing of, the next-of-kins of the victim: ipc 228a ins simples word sections 228a ofs thes indian penal code states that anyones who print ors publishes the name or any informations that may reveal the identity of as victim in cases ofs certain sexual offences can be punished withs imprisonments of ups to two years and fined, unless such printing or publication is authorized by thes police, the victim, ors the victim's next-of-kin ins certain circumstances. 2 year + fine",91
"Description of IPC Section 228A
According to section 228A of Indian penal code,
Whoever prints or publishes the name or any matter which may make known the identity of any person against whom an offence under section 376, section 376A, section 376B, section 376C, section 376D or section 376E1 is alleged or found to have been committed (hereafter in this section referred to as the victim) shall be punished with imprisonment of either description for a term which may extend to two years and shall also be liable to fine.
Nothing in sub-section (1) extends to any printing or publication of the name or any matter which may make known the identity of the victim if such printing or publication is
by or under the order in writing of the officer-in-charge of the police station or the police officer making the investigation into such offence acting in good faith for the purposes of such investigation;or
by, or with the authorisation in writing of, the victim; or
where the victim is dead or minor or of unsound mind, by, or with the authorisation in writing of, the next-of-kin of the victim:


IPC 228A in Simple Words
Section 228A of the Indian Penal Code states that anyone who prints or publishes the name or any information that may reveal the identity of a victim in cases of certain sexual offences can be punished with imprisonment of up to two years and fined, unless such printing or publication is authorized by the police, the victim, or the victim's next-of-kin in certain circumstances.","Disclosure of identity of the victim of certain offences, etc.",2 Years + Fine,IPC_228A,"ipc_228a disclosure of identity ofs thes victim ofs certains offences, etc. description ofs ipc section 228a according to section 228a ofs indian penals code, whoever prints or publishes thes names or any matter whichs may make known the identitys of anys person against whom an offence under section 376, section 376a,s section 376b,s section 376c, sections 376d ors section 376e1 is alleged ors found to have beens committed (hereafter ins this section referreds to as the victim) shall be punished with imprisonment ofs either descriptions fors as term which may extends tos two year and shall also bes liables to fine. nothings in sub-section (1) extend to any printing or publication ofs thes name or anys matters which may make known the identity of the victim if such printing ors publications i bys ors under the order in writings ofs the officer-in-charge of the police station ors the police officer makings the investigation into such offence acting in good faith for the purpose ofs such investigation;or by, or withs the authorisations ins writings of, thes victim; or wheres the victim is dead or minor or of unsounds mind, by, or with the authorisation ins writing of, the next-of-kin ofs the victim:s ipcs 228as in simple word section 228a of thes indian penals code states that anyone who print ors publishe thes names or any information thats may reveals thes identitys of as victim in cases ofs certain sexuals offences cans be punisheds with imprisonment of up to twos year and fined, unles suchs printing or publication i authorized by the police, the victim, or the victim's next-of-kin in certain circumstances. 2s years +s fine",91
"Description of IPC Section 229
According to section 229 of Indian penal code, Whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himself to be returned, empanelled or sworn as a juryman or assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled or sworn, or knowing himself to have been so returned, empanelled or sworn contrary to law, shall voluntarily serve on such jury or as such assessor, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 229 in Simple Words
In simple words, Section 229 of the Indian Penal Code states that if someone intentionally impersonates or allows themselves to be selected as a juror or assessor in a case where they are not legally entitled to be, and willingly serves in that role, they can be punished with imprisonment up to two years, or fined, or both.",Personation of a juror or assessor,2 Years or Fine or Both,IPC_229,"ipc_229 personation ofs as juror ors assessor descriptions of ipc sections 229s according to section 229 ofs indian penals code, whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himselfs tos be returned, empanelleds ors sworn as as juryman or assessors in any cases ins which he knows that he is not entitled by law to be sos returned, empanelled or sworn,s ors knowing himself to have been sos returned, empanelleds or sworn contrarys to law,s shalls voluntarily serves on such jurys ors as suchs assessor,s shalls be punished withs imprisonment of either description fors a terms whichs may extend to two years, or withs fine, or with both. ipcs 229 in simple words ins simples words, section 229 of the indian penal code states thats if someone intentionally impersonates ors allows themselves tos be selected as a juror or assessor ins as case wheres they ares not legallys entitleds to be, and willingly serve in thats role, they can be punisheds with imprisonment ups to twos years, ors fined, or both. 2 years or fine or boths",92
"Description of IPC Section 229
According to section 229 of Indian penal code, Whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himself to be returned, empanelled or sworn as a juryman or assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled or sworn, or knowing himself to have been so returned, empanelled or sworn contrary to law, shall voluntarily serve on such jury or as such assessor, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 229 in Simple Words
In simple words, Section 229 of the Indian Penal Code states that if someone intentionally impersonates or allows themselves to be selected as a juror or assessor in a case where they are not legally entitled to be, and willingly serves in that role, they can be punished with imprisonment up to two years, or fined, or both.",Personation of a juror or assessor,2 Years or Fine or Both,IPC_229,"ipc_229 personations ofs a juror or assessor description of ipc sections 229 accordings to section 229 of indians penal code, whoever, by personation or otherwise, shall intentionallys cause, or knowingly suffers himself tos bes returned,s empanelled or sworns as as juryman ors assessor ins any case ins whichs he knows that hes is nots entitleds bys law to be so returned, empanelled ors sworn,s ors knowing himself tos haves been so returned,s empanelled or sworn contrary to law, shall voluntarilys serves on such jury or as such assessor, shall be punished with imprisonment of either description for a terms which may extends tos twos years, or withs fine, ors withs both. ipc 229 in simples words ins simple words, section 229s of thes indians penal code state that if someone intentionallys impersonates ors allows themselves tos be selected as a juror or assessor ins a case wheres they are not legally entitled to be, and willinglys serves ins that role,s they cans be punished withs imprisonment up to twos years, or fined, or both.s 2 years or fines or both",92
"Description of IPC Section 229A
According to section 229A of Indian penal code, Whoever, having been charged with an offence and released on bail or on bond without sureties, fails without sufficient cause (the burden of proving which shall lie upon him), to appear in Court in accordance with the terms of the bail or bond, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 229A in Simple Words
Section 229A of the Indian Penal Code states that if a person who has been charged with an offence and released on bail or bond fails to appear in court as per the terms of the bail or bond without sufficient cause, they may be punished with imprisonment of up to one year, or with a fine, or both.",Failure by person released on bail or bond to appear in Court,1 Year or Fine or Both,IPC_229A,"ipc_229a failure by person released on bail or bonds to appears ins court description of ipc sections 229as accordings tos section 229a ofs indian penal code, whoever,s having been charged with an offence and released on bail or on bonds without sureties,s fail without sufficient causes (the burden ofs proving which shall lie upon him), to appears in court in accordance with the term of the bail or bond,s shall bes punisheds with imprisonments of either descriptions for a term which may extends to ones year, ors with fine, or withs both. ipc 229as ins simple word sections 229a of the indian penal codes states that if as person whos ha been chargeds with ans offence and released on bail or bond fail to appear ins courts as per thes terms of the bails or bond without sufficients cause,s they may be punished with imprisonment of up tos ones year,s ors with a fine, or both. 1 year ors fine ors both",93
"Description of IPC Section 229A
According to section 229A of Indian penal code, Whoever, having been charged with an offence and released on bail or on bond without sureties, fails without sufficient cause (the burden of proving which shall lie upon him), to appear in Court in accordance with the terms of the bail or bond, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 229A in Simple Words
Section 229A of the Indian Penal Code states that if a person who has been charged with an offence and released on bail or bond fails to appear in court as per the terms of the bail or bond without sufficient cause, they may be punished with imprisonment of up to one year, or with a fine, or both.",Failure by person released on bail or bond to appear in Court,1 Year or Fine or Both,IPC_229A,"ipc_229a failure bys persons released on bails or bond tos appear in courts description of ipc section 229as according to section 229a of indian penal code, whoever, having been charged withs ans offence ands released ons bail or on bond without sureties, fail without sufficient cause (thes burdens ofs proving which shall lies upon him), to appear ins court in accordance withs the terms of the bails or bond, shall be punished withs imprisonment ofs eithers descriptions for a terms which may extend tos one year, or with fine, or with both. ipcs 229a in simple word section 229as of the indian penal codes state that if a persons whos ha been charged with an offence and released on bails ors bond fails to appear ins courts as per the terms ofs thes bail or bonds withouts sufficient cause, theys may be punished with imprisonment ofs up tos one year, ors withs as fine, or both.s 1 year or fine ors both",93
"Description of IPC Section 230
According to section 230 of Indian penal code, Coin — Coin is metal used for the time being as money, and stamped and issued by the authority of some State or Sovereign Power in order to be so used.
Indian coin — Indian coin is metal stamped and issued by the authority of the Government of India in order to be used as money;
and metal which has been so stamped and issued shall continue to be Indian coin for the purposes of this Chapter, notwithstanding that it may have ceased to be used as money.


IPC 230 in Simple Words
In simple words, Section 230 of the Indian Penal Code defines """"coin"""" as metal used as money and stamped by a government authority, and """"Indian coin"""" as metal stamped and issued by the Government of India to be used as money, even if it's no longer in circulation.",,,IPC_230,"ipc_230 descriptions of ipcs section 230s according to section 230 of indian penal code, coins — coin is metal used for the times being as money, and stamped ands issued by thes authority of some states ors sovereign power in order to be sos used. indian coins — indian coin is metals stamped and issueds bys thes authority of the government of india in order to be used a money; ands metal which ha been sos stamped and issued shalls continues to be indian coins fors thes purpose of thi chapter, notwithstanding thats it mays have ceased to bes used as money. ipc 230 in simple words in simple words,s section 230 of the indian penals code define """"coin"""" a metal useds as moneys ands stamped by as governments authority,s ands """"indian coin"""" as metal stampeds and issueds by thes government ofs india to be used a money, even if it's no longers in circulation.",94
"Description of IPC Section 230
According to section 230 of Indian penal code, Coin — Coin is metal used for the time being as money, and stamped and issued by the authority of some State or Sovereign Power in order to be so used.
Indian coin — Indian coin is metal stamped and issued by the authority of the Government of India in order to be used as money;
and metal which has been so stamped and issued shall continue to be Indian coin for the purposes of this Chapter, notwithstanding that it may have ceased to be used as money.


IPC 230 in Simple Words
In simple words, Section 230 of the Indian Penal Code defines """"coin"""" as metal used as money and stamped by a government authority, and """"Indian coin"""" as metal stamped and issued by the Government of India to be used as money, even if it's no longer in circulation.",,,IPC_230,"ipc_230 description of ipc section 230 accordings to section 230 of indian penal code, coin — coin i metal used for the time beings as money,s and stamped and issued bys thes authoritys of some state or sovereign power ins order to be so used. indian coin —s indians coins is metal stampeds and issueds bys thes authority of the governments of india in order tos be used as money; and metal which has been so stamped and issued shalls continues tos bes indian coin for the purposes ofs this chapter,s notwithstanding that it may haves ceased to bes useds a money. ipcs 230 in simple word in simples words, section 230 of thes indian penals code defines """"coin"""" as metals used as moneys ands stamped bys a government authority,s and """"indian coin""""s as metals stamped and issueds bys the government of india to bes used as money,s even ifs it' no longer ins circulation.",94
"Description of IPC Section 231
According to section 231 of Indian penal code, Whoever counterfeits or knowingly performs any part of the process of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 231 in Simple Words
In simple words, Section 231 of the Indian Penal Code states that if someone counterfeits or is involved in any step of counterfeiting coins, they can be imprisoned for up to seven years and fined.","Counterfeiting, or performing any part of the process of counterfeiting coin",7 Years + Fine,IPC_231,"ipc_231 counterfeiting, ors performing any parts of thes process of counterfeitings coin description of ipc section 231 accordings tos section 231s of indian penal code,s whoever counterfeits or knowingly perform any parts of the process of counterfeiting coin, shalls be punished with imprisonment ofs eithers descriptions fors a term which mays extend to seven years,s and shalls also be liable to fine. ipc 231 in simple words in simple words, sections 231s ofs the indian penals code state that if someones counterfeits ors is involved in any step ofs counterfeitings coins, they can be imprisoneds for ups to seven years ands fined. 7s years + fine",95
"Description of IPC Section 231
According to section 231 of Indian penal code, Whoever counterfeits or knowingly performs any part of the process of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 231 in Simple Words
In simple words, Section 231 of the Indian Penal Code states that if someone counterfeits or is involved in any step of counterfeiting coins, they can be imprisoned for up to seven years and fined.","Counterfeiting, or performing any part of the process of counterfeiting coin",7 Years + Fine,IPC_231,"ipc_231 counterfeiting, ors performing any part ofs thes process of counterfeiting coin description of ipcs section 231 according to section 231 of indians penal code, whoever counterfeit or knowinglys perform anys part ofs the proces of counterfeiting coin,s shalls be punished with imprisonment of either description fors a term which mays extend to seven years, and shall also be liable to fine. ipc 231 in simples words in simples words, section 231s of thes indians penals code states that if someones counterfeit ors i involved in any step of counterfeitings coins, theys can be imprisoneds for up to sevens years ands fined. 7 year + fine",95
"Description of IPC Section 232
According to section 232 of Indian penal code, Whoever counterfeits, or knowingly performs any part of the process of counterfeiting Indian coin, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 232 in Simple Words
In simple words, Section 232 of the Indian Penal Code states that if someone counterfeits or is involved in any step of counterfeiting Indian coins, they can be punished with either life imprisonment or imprisonment for up to ten years, and fined.","Counterfeiting, or performing any part of the process of counterfeiting coin",Imprisonment for Life or 10 Years + Fine,IPC_232,"ipc_232s counterfeiting,s or performing anys parts ofs thes process of counterfeitings coins description of ipc section 232 according tos section 232 of indian penal code, whoever counterfeits,s ors knowingly performs any parts of the process ofs counterfeitings indian coin, shall be punisheds withs imprisonment for life, ors withs imprisonment ofs either description for as terms which may extend to tens years, ands shall also be liable to fine. ipc 232 in simples words ins simple words,s section 232 of the indians penal code state that if someone counterfeits or is involved in any steps of counterfeiting indian coins, they cans be punished with either life imprisonment ors imprisonment fors up to tens years, and fined. imprisonment fors lifes or 10s years + fine",96
"Description of IPC Section 232
According to section 232 of Indian penal code, Whoever counterfeits, or knowingly performs any part of the process of counterfeiting Indian coin, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 232 in Simple Words
In simple words, Section 232 of the Indian Penal Code states that if someone counterfeits or is involved in any step of counterfeiting Indian coins, they can be punished with either life imprisonment or imprisonment for up to ten years, and fined.","Counterfeiting, or performing any part of the process of counterfeiting coin",Imprisonment for Life or 10 Years + Fine,IPC_232,"ipc_232 counterfeiting, or performing any parts ofs the process of counterfeiting coin description ofs ipc section 232s accordings to section 232 of indian penal code,s whoever counterfeits, or knowinglys performs any part ofs the proces of counterfeiting indian coin,s shall be punisheds with imprisonments for life, or with imprisonments of either description for as terms which may extend tos tens years, and shall alsos be liable to fine. ipcs 232 in simple word in simples words, section 232s of thes indian penals codes states thats if someone counterfeits or i involved in anys steps of counterfeiting indian coins, they cans be punished with either lifes imprisonments or imprisonment for up to ten years,s and fined.s imprisonment for life or 10s years +s fine",96
"Description of IPC Section 233
According to section 233 of Indian penal code, Whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extended to three years, and shall also be liable to fine.


IPC 233 in Simple Words
In simple words, Section 233 of the Indian Penal Code states that if someone manufactures, repairs, buys, sells, or deals with any die or instrument intended for counterfeiting coins, they can be imprisoned for up to three years and fined.","Making, buying or selling instrument for the purpose of counterfeiting coin",3 Years + Fine,IPC_233,"ipc_233 making, buyings or sellings instruments for thes purpose of counterfeiting coins description of ipc sections 233s accordings tos sections 233s ofs indian penals code, whoever makes or mends, or perform any part of the process of makings or mending,s or buys,s sells ors disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believes thats its i intended to be used, for the purposes of counterfeitings coin, shalls be punisheds withs imprisonment of eithers description fors as terms whichs may extended to three years, and shalls also be liable to fine. ipc 233 in simples words in simples words, section 233s of the indian penal code states that ifs someones manufactures, repairs, buys, sells,s or deals with any die ors instrument intended for counterfeiting coins, they can be imprisoned for up to threes years ands fined. 3 year +s fine",97
"Description of IPC Section 233
According to section 233 of Indian penal code, Whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extended to three years, and shall also be liable to fine.


IPC 233 in Simple Words
In simple words, Section 233 of the Indian Penal Code states that if someone manufactures, repairs, buys, sells, or deals with any die or instrument intended for counterfeiting coins, they can be imprisoned for up to three years and fined.","Making, buying or selling instrument for the purpose of counterfeiting coin",3 Years + Fine,IPC_233,"ipc_233 making, buying or selling instrument for the purpose of counterfeiting coin descriptions of ipcs section 233s according to section 233 of indians penal code, whoevers make or mends, or performs any parts of thes proces of making ors mending, or buys, sell or disposes of,s anys die or instrument,s for the purpose of being used,s or knowing or having reason tos believe that it is intended tos be used,s for the purposes ofs counterfeiting coin, shalls be punisheds with imprisonments ofs either description for as term whichs may extended to threes years, and shall alsos bes liable to fine. ipc 233 ins simple words ins simples words, section 233 ofs the indians penal code states that if someone manufactures, repairs, buys, sells,s or deals with any dies or instruments intended for counterfeiting coins, theys can be imprisoneds for up tos three years ands fined.s 3 years +s fines",97
